site,location_m,date,time,stage_m,notes,width,xc_area,depth_avg,velocity_avg,discharge,depth_thalweg,DateTime_EST,level_m
NHC,0,2016-09-22,08:00:00,1.3,NA,14.3,6.718,0.46979020979020975,0.6019678475736826,4.04402,0.72,2016-09-22T13:00:00Z,0.9409372953344838
NHC,0,2016-10-11,10:30:00,1.03,NA,9.5,4.51,0.4747368421052631,0.18119041019955656,0.81716875,0.96,2016-10-11T15:30:00Z,1.1089969225068783
NHC,0,2016-12-01,10:00:00,0.95,NA,9.7,3.6199999999999997,0.3731958762886598,0.06383632596685082,0.23108749999999997,0.72,2016-12-01T15:00:00Z,NA
NHC,0,2017-01-12,10:00:00,1.2,NA,11.5,4.28,0.3721739130434783,0.2835023364485981,1.21339,0.76,2017-01-12T15:00:00Z,1.1587755955475918
NHC,0,2017-02-15,13:00:00,0.97,NA,11.9,3.2,0.2689075630252101,0.0879609375,0.28147500000000003,0.64,2017-02-15T18:00:00Z,0.9286773159921551
NHC,0,2017-03-14,09:00:00,1.06,NA,11.7,3.947,0.33735042735042736,0.1941699391943248,0.76638875,0.72,2017-03-14T14:00:00Z,1.048969512012544
NHC,0,2017-05-02,10:00:00,1.08,NA,11.5,3.171,0.2757391304347826,0.5686691895301167,1.80325,0.64,2017-05-02T15:00:00Z,1.0092589209558243
NHC,0,2017-05-05,09:45:00,1.37,NA,14.9,9.3105,0.6248657718120805,0.6740663766715,6.275895,0.85,2017-05-05T14:45:00Z,1.5562771600440797
NHC,0,2017-05-06,11:00:00,1.23,NA,14,4.6465,0.3318928571428571,0.5179379640589692,2.40659875,0.48,2017-05-06T16:00:00Z,1.1862668698491696
NHC,0,2017-06-21,10:00:00,1.33,NA,11.5,6.123,0.5324347826086957,0.5470153519516577,3.349375,0.93,2017-06-21T15:00:00Z,1.3375125060256425
NHC,0,2018-01-24,15:30:00,1.01,NA,10.4,3.8945,0.3744711538461538,0.1817868147387341,0.7079687499999999,0.68,2018-01-24T20:30:00Z,1.0683888812377793
NHC,0,2018-03-13,15:30:00,1.19,NA,10.9,5.4425088,0.49931273394495407,0.36281418010752686,1.9746193679999997,0.85344,2018-03-13T20:30:00Z,1.2267528103075742
NHC,0,2018-03-26,10:30:00,1.28,NA,11.9,5.1245,0.4306302521008403,0.4885549809737535,2.5036,0.86,2018-03-26T15:30:00Z,1.2333786787797534
PM,1570,2020-06-19,19:00:00,NA,N to S bank,19.5,19.93,1.022051282051282,0.00849724034119418,0.16935,1.25,2020-06-20T00:00:00Z,NA
CBP,3450,2020-06-19,18:30:00,NA,N to S bank,16.4,15.53,0.9469512195121952,0.022768029620090148,0.3535875,1.16,2020-06-19T23:30:00Z,NA
CBP,3450,2020-08-23,12:00:00,NA,30 m down from riffle,16,9.445,0.5903125,0.009158549497088405,0.0865025,0.86,2020-08-23T17:00:00Z,NA
WB,5950,2020-06-19,17:40:00,NA,NA,10,4.1,0.41,0.08264329268292683,0.3388375,0.58,2020-06-19T22:45:00Z,NA
WBP,6120,2020-06-19,17:00:00,0.88,"S to N bank. Stage unclear in notebook, so if 88 looks wrong ignore it.",14.2,13.1545,0.9263732394366198,0.026624919229161124,0.35023750000000003,1.1,2020-06-19T22:00:00Z,NA
UNHC,8450,2020-08-23,10:15:00,0.38,NA,14,1.895,0.13535714285714287,0.031622691292875996,0.059925000000000006,0.2,2020-08-23T15:15:00Z,NA
UNHC,8450,2016-07-15,14:00:00,0.4,NA,13.5,5.283,0.39133333333333337,0.07978137421919364,0.421485,0.57,2016-07-15T19:00:00Z,NA
UNHC,8450,2016-09-15,11:15:00,0.45,NA,13.6,5.176,0.38058823529411767,0.043407554095826896,0.22467750000000003,0.52,2016-09-15T16:15:00Z,NA
UNHC,8450,2016-09-22,10:00:00,0.69,NA,13.4,9.016,0.6728358208955224,0.27873558118899733,2.51308,0.79,2016-09-22T15:00:00Z,0.4599537949448943
UNHC,8450,2016-12-01,10:30:00,0.575,NA,13.6,6.6365,0.4879779411764706,0.03318032848640097,0.22020125000000002,0.65,2016-12-01T15:30:00Z,NA
UNHC,8450,2016-12-06,10:00:00,0.57,NA,13.4,6.721500000000001,0.5016044776119404,0.04149408614148628,0.27890250000000005,0.67,2016-12-06T15:00:00Z,NA
UNHC,8450,2017-01-12,11:00:00,0.56,NA,13.5,7.0975,0.5257407407407407,0.1406567453328637,0.9983112500000001,0.69,2017-01-12T16:00:00Z,0.5983410373299919
UNHC,8450,2017-03-14,10:00:00,0.55,NA,13.7,6.3765,0.4654379562043796,0.06893574061005253,0.43956875,0.64,2017-03-14T15:00:00Z,0.5360229802867931
UNHC,8450,2017-05-02,11:00:00,0.6,NA,13.7,6.38,0.4656934306569343,0.26055760188087773,1.6623575,0.62,2017-05-02T16:00:00Z,0.5865344744718787
UNHC,8450,2017-06-21,11:30:00,0.735,NA,13.7,8.724499999999999,0.6368248175182482,0.2936930483122242,2.562325,0.8,2017-06-21T16:30:00Z,0.758445066188914
UNHC,8450,2018-03-26,11:30:00,0.7,NA,13.6,7.9915,0.5876102941176471,0.20923449915535258,1.6720975000000002,0.74,2018-03-26T16:30:00Z,0.6046877490740528
MC751,NA,2020-06-05,15:15:00,0.7,NA,0.8,0.02,0.024999999999999998,0.194875,0.0038975,0.05,2020-06-05T20:15:00Z,NA
MC751,NA,2020-06-12,08:15:00,0.84,NA,3.9,0.39175000000000004,0.10044871794871796,0.06513880025526483,0.025518125000000003,0.17,2020-06-12T13:15:00Z,NA
MC751,NA,2020-08-22,12:00:00,0.64,NA,1.5,0.137,0.09133333333333334,0.19633211678832113,0.026897499999999998,0.14,2020-08-22T17:00:00Z,NA
